Date,Aircraft,Origin,Destination,Takoff,Landing,Duration,Gate Departure,Gate Arrival,Schedule_gd,Scheduled_ga,Is Weekend,Is Holiday,Delay (min),Is Delayed,dep_Blowing Snow,arr_Blowing Snow,dep_Clear,arr_Clear,dep_Cloudy,arr_Cloudy,dep_Drizzle,arr_Drizzle,dep_Fog,arr_Fog,dep_Freezing Drizzle,arr_Freezing Drizzle,dep_Freezing Fog,arr_Freezing Fog,dep_Mainly Clear,arr_Mainly Clear,dep_Moderate Rain,arr_Moderate Rain,dep_Moderate Snow,arr_Moderate Snow,dep_Mostly Cloudy,arr_Mostly Cloudy,dep_Rain,arr_Rain,dep_Rain Showers,arr_Rain Showers,dep_Snow,arr_Snow,dep_Snow Grains,arr_Snow Grains,dep_Snow Showers,arr_Snow Showers
2024-12-25,BCS3,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:41PM NST,07:10PM EST,2:59:00,05:24PM NST,07:19PM EST,05:25PM NST,07:48PM EST,0,1,-29,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-24,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:43PM NST,07:13PM EST,2:59:00,05:30PM NST,07:31PM EST,05:25PM NST,07:48PM EST,0,0,-17,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-23,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),06:09PM NST,08:02PM EST,3:23:00,05:40PM NST,08:15PM EST,05:25PM NST,07:48PM EST,0,0,27,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-22,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),06:13PM NST,07:43PM EST,3:00:00,05:29PM NST,07:53PM EST,05:25PM NST,07:48PM EST,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2024-12-21,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:42PM NST,07:23PM EST,3:10:00,05:28PM NST,07:31PM EST,05:25PM NST,07:48PM EST,1,0,-17,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2024-12-20,A320,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),06:35PM NST,08:29PM EST,3:24:00,06:03PM NST,08:45PM EST,05:25PM NST,07:48PM EST,0,0,57,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-19,A321,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),09:51PM NST,11:51PM EST,3:29:00,09:33PM NST,12:00AM EST (+1),05:25PM NST,07:48PM EST,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-18,A321,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:58PM NST,07:53PM EST,3:25:00,05:46PM NST,08:00PM EST,05:25PM NST,07:48PM EST,0,0,12,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-17,A321,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),06:13PM NST,07:57PM EST,3:14:00,05:48PM NST,08:06PM EST,05:25PM NST,07:48PM EST,0,0,18,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-16,A320,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:35PM NST,07:38PM EST,Cancelled,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-15,BCS3,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:40PM NST,07:13PM EST,3:03:00,05:28PM NST,07:22PM EST,05:25PM NST,07:48PM EST,1,0,-26,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-14,BCS3,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),07:48PM NST,09:17PM EST,2:58:00,07:36PM NST,09:24PM EST,05:25PM NST,07:48PM EST,1,0,96,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-13,BCS3,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),06:13PM NST,07:59PM EST,3:15:00,06:00PM NST,08:06PM EST,05:25PM NST,07:48PM EST,0,0,18,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-12,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),06:33PM NST,08:18PM EST,3:15:00,06:20PM NST,08:29PM EST,05:25PM NST,07:48PM EST,0,0,41,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-11,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:30PM NST,07:22PM EST,3:22:00,05:19PM NST,07:31PM EST,05:25PM NST,07:48PM EST,0,0,-17,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-10,A320,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),06:04PM NST,07:55PM EST,3:20:00,05:40PM NST,08:07PM EST,05:25PM NST,07:48PM EST,0,0,19,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-09,A320,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:37PM NST,07:28PM EST,3:21:00,05:24PM NST,07:36PM EST,05:25PM NST,07:48PM EST,0,0,-12,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-08,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),06:14PM NST,07:57PM EST,3:12:00,05:44PM NST,08:05PM EST,05:25PM NST,07:48PM EST,1,0,17,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-07,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),06:05PM NST,07:52PM EST,3:17:00,05:37PM NST,08:03PM EST,05:25PM NST,07:48PM EST,1,0,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-06,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),07:43PM NST,09:22PM EST,3:09:00,07:32PM NST,09:32PM EST,05:25PM NST,07:48PM EST,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2024-12-05,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:40PM NST,07:25PM EST,3:14:00,05:23PM NST,07:38PM EST,05:25PM NST,07:48PM EST,0,0,-10,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-04,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),06:13PM NST,08:22PM EST,3:38:00,05:45PM NST,08:37PM EST,05:25PM NST,07:48PM EST,0,0,49,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-03,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),07:31PM NST,08:52PM EST,2:50:00,07:11PM NST,09:07PM EST,05:25PM NST,07:48PM EST,0,0,79,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-02,BCS3,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:40PM NST,07:15PM EST,3:05:00,05:27PM NST,07:25PM EST,05:25PM NST,07:48PM EST,0,0,-23,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-01,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:26PM NST,07:04PM EST,3:08:00,05:15PM NST,07:11PM EST,05:25PM NST,07:48PM EST,1,0,-37,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-30,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:28PM NST,07:07PM EST,3:08:00,05:16PM NST,07:13PM EST,05:25PM NST,07:48PM EST,1,0,-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2024-11-29,A321,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),06:12PM NST,07:50PM EST,3:07:00,05:45PM NST,07:59PM EST,05:25PM NST,07:48PM EST,0,0,11,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2024-11-28,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:30PM NST,07:22PM EST,3:22:00,05:18PM NST,07:39PM EST,05:25PM NST,07:48PM EST,0,0,-9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-27,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:39PM NST,07:18PM EST,3:09:00,05:21PM NST,07:27PM EST,05:25PM NST,07:48PM EST,0,0,-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-26,A320,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:42PM NST,07:18PM EST,3:05:00,05:28PM NST,07:27PM EST,05:25PM NST,07:48PM EST,0,0,-21,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2024-11-25,A321,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),06:10PM NST,07:39PM EST,2:59:00,05:57PM NST,07:48PM EST,05:25PM NST,07:48PM EST,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-24,A320,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:23PM NST,06:46PM EST,2:52:00,05:12PM NST,06:53PM EST,05:25PM NST,07:48PM EST,1,0,-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2024-11-23,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:30PM NST,06:48PM EST,2:48:00,05:18PM NST,06:57PM EST,05:25PM NST,07:48PM EST,1,0,-51,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2024-11-22,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:43PM NST,07:07PM EST,2:53:00,05:29PM NST,07:22PM EST,05:25PM NST,07:48PM EST,0,0,-26,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-21,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:50PM NST,07:12PM EST,2:51:00,05:26PM NST,07:18PM EST,05:25PM NST,07:48PM EST,0,0,-30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-20,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:40PM NST,07:09PM EST,2:58:00,05:23PM NST,07:17PM EST,05:25PM NST,07:48PM EST,0,0,-31,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2024-11-19,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:22PM NST,06:44PM EST,2:52:00,05:12PM NST,06:52PM EST,05:25PM NST,07:48PM EST,0,0,-56,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-17,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:49PM NST,07:27PM EST,3:08:00,05:28PM NST,07:37PM EST,05:25PM NST,07:48PM EST,1,0,-11,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-16,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:45PM NST,07:09PM EST,2:53:00,05:25PM NST,07:16PM EST,05:25PM NST,07:48PM EST,1,0,-32,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-15,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),07:23PM NST,08:36PM EST,2:43:00,07:00PM NST,08:42PM EST,05:25PM NST,07:48PM EST,0,0,54,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-14,A321,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),06:03PM NST,07:23PM EST,2:50:00,05:37PM NST,07:31PM EST,05:25PM NST,07:48PM EST,0,0,-17,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2024-11-13,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:37PM NST,07:06PM EST,2:59:00,05:25PM NST,07:14PM EST,05:25PM NST,07:48PM EST,0,0,-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2024-11-12,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),05:37PM NST,07:06PM EST,2:58:00,05:25PM NST,07:16PM EST,05:25PM NST,07:48PM EST,0,0,-32,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2024-11-11,A319,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),06:04PM NST,07:49PM EST,3:15:00,05:31PM NST,07:58PM EST,05:25PM NST,07:48PM EST,0,0,10,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-10,BCS3,St. John's Int'l (CYYT),Toronto Pearson Int'l (CYYZ),07:33PM NST,09:19PM EST,3:15:00,07:20PM NST,09:29PM EST,05:25PM NST,07:48PM EST,1,0,101,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
